date,bodypart,exercise,weight,reps,sets,notes
2026-03-30,Shoulder,Overhead Press,14,10,1,
2026-03-30,Shoulder,Overhead Press,23,10,1,
2026-03-30,Shoulder,Overhead Press,32,10,1,
2026-03-30,Shoulder,Overhead Press,41,9,1,
2026-03-30,Shoulder,Lateral Raise,7,10,1,low quality noted
2026-04-02,Abs,Leg Raise,bodyweight,12,4,
2026-04-02,Chest,Chest Press,35,8,4,
2026-04-02,Shoulder,Overhead Press,23,12,5,
2026-04-02,Chest,Butterfly Fly,22.5,10,2,
2026-04-02,Shoulder,Face Pull,6.8,10,3,
2026-04-02,Back,Row Pulldown,6.8,10,3,
2026-04-03,Shoulder,Overhead Press,23,10,1,
2026-04-03,Shoulder,Overhead Press,32,10,1,
2026-04-03,Shoulder,Overhead Press,41,8,1,
2026-04-03,Chest,Chest Press,35,11,1,
2026-04-03,Chest,Chest Press,40,9,1,
2026-04-03,Chest,Chest Press,40,7,1,
2026-04-03,Chest,Chest Press,30,10,2,
2026-04-03,Chest,Butterfly Fly,13.5,10,2,
2026-04-03,Chest,Butterfly Fly,22.5,10,2,
2026-04-13,Chest,Chest Press,45,12,2,
2026-04-13,Chest,Chest Press,55,7,1,
2026-04-13,Chest,Chest Press,55,4,1,
2026-04-13,Chest,Incline Press,40,9,1,
2026-04-13,Chest,Incline Press,40,6,1,
2026-04-13,Chest,Incline Machine Press,32,10,1,
2026-04-13,Chest,Incline Machine Press,23,10,1,
2026-04-13,Biceps,Curl,11.3,10,1,
2026-04-13,Biceps,Curl,13.6,10,1,
2026-04-13,Biceps,Curl,15.9,8,1,
2026-04-13,Biceps,Curl,13.6,8,1,
2026-04-13,Biceps,Curl,11.3,10,1,
2026-04-13,Shoulder,Lateral Raise,10,10,5,
2026-04-14,Back,Assisted Pull / Pulldown,40.5,12,1,
2026-04-14,Back,Assisted Pull / Pulldown,36.5,12,1,
2026-04-14,Back,Assisted Pull / Pulldown,32.5,8,1,
2026-04-14,Back,Assisted Pull / Pulldown,28.5,8,1,
2026-04-14,Back,Single Arm Row,6.8,20,1,right
